2025-02-24 21:39:56,112 - CRITICAL - Invalid move 'invalid_move' for game 8801, turn W1. 
2025-02-24 21:39:56,113 - CRITICAL - Invalid move 'invalid_move' for game 8802, turn W1. 
2025-02-24 21:39:56,113 - CRITICAL - Invalid move 'invalid_move' for game 8173, turn W1. 
2025-02-24 21:39:56,113 - CRITICAL - Invalid move 'invalid_move' for game 57, turn W1. 
2025-02-24 21:39:56,116 - CRITICAL - Invalid move 'invalid_move' for game 6927, turn W1. 
2025-02-24 21:39:56,120 - CRITICAL - Invalid move 'invalid_move' for game 6303, turn W1. 
2025-02-24 21:39:56,121 - CRITICAL - Invalid move 'invalid_move' for game 5666, turn W1. 
2025-02-24 21:39:56,123 - CRITICAL - Invalid move 'invalid_move' for game 688, turn W1. 
2025-02-24 21:39:56,125 - CRITICAL - Invalid move 'invalid_move' for game 9404, turn W1. 
2025-02-24 21:39:56,125 - CRITICAL - Invalid move 'invalid_move' for game 5055, turn W1. 
2025-02-24 21:39:56,128 - CRITICAL - Invalid move 'invalid_move' for game 8806, turn W1. 
2025-02-24 21:39:56,129 - CRITICAL - Invalid move 'invalid_move' for game 3804, turn W1. 
2025-02-24 21:39:56,129 - CRITICAL - Invalid move 'invalid_move' for game 7558, turn W1. 
2025-02-24 21:39:56,134 - CRITICAL - Invalid move 'invalid_move' for game 3190, turn W1. 
2025-02-24 21:39:56,141 - CRITICAL - Invalid move 'invalid_move' for game 2563, turn W1. 
2025-02-24 21:39:56,141 - CRITICAL - Invalid move 'invalid_move' for game 1316, turn W1. 
2025-02-24 21:39:56,144 - CRITICAL - Invalid move 'invalid_move' for game 3193, turn W1. 
2025-02-24 21:39:56,145 - CRITICAL - Invalid move 'invalid_move' for game 8181, turn W1. 
2025-02-24 21:39:56,148 - CRITICAL - Invalid move 'invalid_move' for game 694, turn W1. 
2025-02-24 21:39:56,151 - CRITICAL - Invalid move 'invalid_move' for game 2566, turn W1. 
2025-02-24 21:39:56,156 - CRITICAL - Invalid move 'invalid_move' for game 67, turn W1. 
2025-02-24 21:39:56,158 - CRITICAL - Invalid move 'invalid_move' for game 3811, turn W1. 
2025-02-24 21:39:56,159 - CRITICAL - Invalid move 'invalid_move' for game 8185, turn W1. 
2025-02-24 21:39:56,161 - CRITICAL - Invalid move 'invalid_move' for game 6313, turn W1. 
2025-02-24 21:39:56,164 - CRITICAL - Invalid move 'invalid_move' for game 8187, turn W1. 
2025-02-24 21:39:56,165 - CRITICAL - Invalid move 'invalid_move' for game 7567, turn W1. 
2025-02-24 21:39:56,166 - CRITICAL - Invalid move 'invalid_move' for game 3199, turn W1. 
2025-02-24 21:39:56,167 - CRITICAL - Invalid move 'invalid_move' for game 3813, turn W1. 
2025-02-24 21:39:56,167 - CRITICAL - Invalid move 'invalid_move' for game 9414, turn W1. 
2025-02-24 21:39:56,172 - CRITICAL - Invalid move 'invalid_move' for game 6940, turn W1. 
2025-02-24 21:39:56,175 - CRITICAL - Invalid move 'invalid_move' for game 701, turn W1. 
2025-02-24 21:39:56,177 - CRITICAL - Invalid move 'invalid_move' for game 3202, turn W1. 
2025-02-24 21:39:56,187 - CRITICAL - Invalid move 'invalid_move' for game 6944, turn W1. 
2025-02-24 21:39:56,187 - CRITICAL - Invalid move 'invalid_move' for game 6945, turn W1. 
2025-02-24 21:39:56,189 - CRITICAL - Invalid move 'invalid_move' for game 705, turn W1. 
2025-02-24 21:39:56,191 - CRITICAL - Invalid move 'invalid_move' for game 8821, turn W1. 
2025-02-24 21:39:56,192 - CRITICAL - Invalid move 'invalid_move' for game 3206, turn W1. 
2025-02-24 21:39:56,192 - CRITICAL - Invalid move 'invalid_move' for game 7574, turn W1. 
2025-02-24 21:39:56,193 - CRITICAL - Invalid move 'invalid_move' for game 6320, turn W1. 
2025-02-24 21:39:56,193 - CRITICAL - Invalid move 'invalid_move' for game 5071, turn W1. 
2025-02-24 21:39:56,196 - CRITICAL - Invalid move 'invalid_move' for game 1329, turn W1. 
2025-02-24 21:39:56,201 - CRITICAL - Invalid move 'invalid_move' for game 2578, turn W1. 
2025-02-24 21:39:56,205 - CRITICAL - Invalid move 'invalid_move' for game 8197, turn W1. 
2025-02-24 21:39:56,212 - CRITICAL - Invalid move 'invalid_move' for game 80, turn W1. 

2025-02-24 21:39:56,215 - CRITICAL - Invalid move 'invalid_move' for game 6952, turn W1. 
2025-02-24 21:39:56,216 - CRITICAL - Invalid move 'invalid_move' for game 9426, turn W1. 
2025-02-24 21:39:56,218 - CRITICAL - Invalid move 'invalid_move' for game 6326, turn W1. 
2025-02-24 21:39:56,219 - CRITICAL - Invalid move 'invalid_move' for game 3824, turn W1. 
2025-02-24 21:39:56,219 - CRITICAL - Invalid move 'invalid_move' for game 6327, turn W1. 
2025-02-24 21:39:56,220 - CRITICAL - Invalid move 'invalid_move' for game 6328, turn W1. 
2025-02-24 21:39:56,220 - CRITICAL - Invalid move 'invalid_move' for game 5078, turn W1. 
